player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,paint_rebounding_norm,3catch_and_shoot_norm,pullupshoot_norm,tm,labels
Darren Collison,30.3,0.245,0.239,0.57,1.3,7.2,24.5,1.6,0.4,12.6,19.8,0.8,-2.3,3.249675,3.877794,63.521829,SAC,8
David Lee,18.7,0.0,0.269,0.613,11.6,21.9,13.0,1.1,2.2,14.9,16.9,0.7,2.5,4.0912608,0.0,2.38238,SAS,0
David West,12.6,0.032,0.222,0.571,6.4,18.8,24.1,2.4,4.4,22.0,17.9,-1.7,3.9,2.707173,0.014112,0.945756,GSW,4
Davis Bertans,12.1,0.739,0.145,0.609,3.2,10.6,8.3,1.3,2.8,11.4,15.7,1.2,0.5,3.239775,7.86379,2.269839,SAS,9
DeAndre Jordan,31.7,0.003,0.737,0.673,13.3,34.6,5.7,1.0,4.3,13.2,15.3,1.0,3.0,5.774472,0.0,0.0,LAC,4
DeAndre Liggins,12.5,0.324,0.282,0.476,2.9,12.2,9.2,3.0,1.5,20.8,11.6,-3.9,1.8,0.8120375,0.93925,0.9165,TOT,10
DeMar DeRozan,35.4,0.08,0.419,0.552,3.0,13.6,20.6,1.5,0.4,9.0,34.3,2.4,-1.5,6.50475,0.595782,166.157688,TOR,5
DeMarcus Cousins,34.2,0.254,0.468,0.562,7.1,29.2,25.8,2.0,3.3,13.5,36.5,3.9,2.6,3.935736,10.936134,35.302608,TOT,12
DeMarre Carroll,26.1,0.583,0.213,0.531,3.8,12.7,5.7,2.2,1.2,8.3,15.5,0.6,0.4,3.2334768,18.780255,11.373336,TOR,3
Dennis Schroder,31.5,0.242,0.21,0.533,1.9,9.0,35.5,1.5,0.6,16.3,27.8,0.7,-1.4,4.148928,2.953125,66.800475,ATL,8
Denzel Valentine,17.1,0.722,0.063,0.492,1.2,15.6,9.3,1.5,0.6,14.2,15.4,-2.4,-0.4,0.6909084,8.37216,10.941264,CHI,9
Deron Williams,25.9,0.39,0.182,0.541,0.9,9.4,35.9,1.0,0.4,17.6,22.1,0.2,-2.4,1.3080795,5.430453,50.55939,TOT,8
Derrick Favors,23.7,0.024,0.261,0.512,9.2,20.2,7.9,2.0,2.7,11.4,20.7,-2.4,2.3,4.7794368,0.034128,1.900266,UTA,0
Derrick Rose,32.5,0.061,0.259,0.53,3.4,9.3,22.8,1.1,0.7,11.9,25.7,0.2,-2.2,4.351035,0.169,75.850775,NYK,8
Derrick Williams,16.1,0.398,0.365,0.537,2.6,15.1,5.1,0.9,0.7,9.0,17.2,-2.4,-1.8,1.18335,2.84648,5.79278,TOT,9
Devin Booker,35.0,0.283,0.308,0.531,1.8,8.3,16.3,1.3,0.6,12.9,28.6,0.4,-2.7,3.215625,7.41195,115.6456,PHO,5
Devin Harris,16.7,0.519,0.378,0.549,1.1,13.0,20.0,2.1,0.6,12.5,19.7,-0.1,-0.3,1.5698,4.136757,8.728088,DAL,2
Dewayne Dedmon,17.5,0.0,0.359,0.645,11.2,30.5,4.8,1.4,3.7,16.9,12.3,-1.5,3.2,2.8476,0.0,0.175,SAS,4
Dirk Nowitzki,26.4,0.308,0.165,0.529,1.8,28.3,10.6,1.1,2.4,6.6,25.8,-1.6,0.3,2.9470056,10.017216,31.421016,DAL,7
Domantas Sabonis,20.1,0.331,0.139,0.469,3.0,16.4,7.2,1.2,1.6,14.0,15.4,-4.7,-0.1,3.513279,4.012764,1.653627,OKC,9
Dorian Finney-Smith,20.3,0.574,0.183,0.486,3.7,12.3,6.0,1.6,1.4,11.1,11.6,-2.8,1.3,3.0454872,7.481768,2.28172,DAL,9
Doug McDermott,22.8,0.416,0.169,0.554,1.4,11.5,5.9,0.4,0.3,6.6,16.4,-1.2,-2.3,2.1370896,10.112256,18.16134,TOT,7
Draymond Green,32.5,0.405,0.328,0.522,4.6,20.9,27.6,3.0,3.4,19.8,16.2,0.4,5.0,4.60551,12.933375,2.36925,GSW,6
Dwight Howard,29.7,0.003,0.692,0.627,15.0,31.7,7.8,1.4,3.6,17.5,19.2,-0.5,2.8,4.782888,0.0,0.395604,ATL,4
Dwight Powell,17.3,0.196,0.374,0.588,7.7,19.5,6.1,2.4,2.6,7.2,16.7,-0.5,1.9,1.8617568,0.92036,0.462256,DAL,0
Dwyane Wade,29.9,0.152,0.294,0.508,3.8,12.6,22.4,2.4,1.8,11.3,29.6,0.4,0.6,3.4134438,0.485576,93.183051,CHI,8
E'Twaun Moore,24.9,0.336,0.12,0.537,1.9,6.9,13.8,1.3,1.4,8.7,17.4,-0.8,-0.5,5.3784,6.13536,27.9378,NOP,7
Elfrid Payton,29.4,0.16,0.231,0.52,3.9,13.8,35.7,1.8,1.3,15.0,21.6,0.7,0.2,3.478608,1.559376,27.828864,ORL,8
Emmanuel Mudiay,25.6,0.323,0.303,0.483,2.3,11.6,21.8,1.4,0.7,16.5,22.6,-2.0,-1.8,2.147712,4.76928,20.64384,DEN,2
Enes Kanter,21.3,0.052,0.387,0.599,14.1,20.8,7.9,1.0,2.0,12.5,27.3,0.6,-1.9,5.31222,0.076041,1.472256,OKC,0
Eric Bledsoe,33.0,0.3,0.443,0.563,2.5,13.8,31.1,2.0,1.2,15.3,28.1,3.7,-0.4,4.158,3.03534,91.54398,PHO,11
Eric Gordon,31.0,0.651,0.172,0.557,1.4,8.1,12.3,1.0,1.4,10.0,22.1,1.0,-2.4,3.37125,36.456,47.3184,HOU,3
Ersan Ilyasova,26.1,0.452,0.233,0.546,5.9,18.8,11.0,1.3,0.9,10.6,22.2,0.3,-0.8,3.5402562,13.635684,18.095913,TOT,7
Evan Fournier,32.9,0.387,0.298,0.555,2.1,8.3,14.8,1.5,0.1,11.8,23.5,0.8,-2.2,6.0023089,11.947306,50.104068,ORL,7
Evan Turner,25.5,0.214,0.187,0.491,2.4,14.2,18.4,1.6,1.2,14.3,18.5,-2.5,-0.1,1.9275195,1.79265,40.4481,POR,2
